game_id;game_date;league_id;league_name;league_season;teams_home_id;teams_home_name;teams_away_id;teams_away_name;score_ht_home;score_ft_home;score_ht_away;score_ft_away
871744;2023-03-19 16:05:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;94;Rennes;0.0;0.0;1.0;2.0
871745;2023-03-18 20:00:00+00:00;61;Ligue 1;2022;116;Lens;77;Angers;2.0;3.0;0.0;0.0
871746;2023-03-19 14:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;108;Auxerre;1.0;2.0;0.0;0.0
871747;2023-03-19 19:45:00+00:00;61;Ligue 1;2022;93;Reims;81;Marseille;1.0;1.0;2.0;2.0
871748;2023-03-18 16:00:00+00:00;61;Ligue 1;2022;96;Toulouse;79;Lille;0.0;0.0;0.0;2.0
871749;2023-03-19 14:00:00+00:00;61;Ligue 1;2022;110;Estac Troyes;106;Stade Brestois 29;2.0;2.0;1.0;2.0
871750;2023-04-01 15:00:00+00:00;61;Ligue 1;2022;108;Auxerre;110;Estac Troyes;0.0;1.0;0.0;0.0
871751;2023-04-02 15:05:00+00:00;61;Ligue 1;2022;91;Monaco;95;Strasbourg;1.0;4.0;2.0;3.0
871752;2023-04-02 13:00:00+00:00;61;Ligue 1;2022;77;Angers;84;Nice;1.0;1.0;1.0;1.0
871753;2023-04-02 13:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;98;Ajaccio;0.0;2.0;1.0;1.0
871754;2023-04-02 13:00:00+00:00;61;Ligue 1;2022;83;Nantes;93;Reims;0.0;0.0;2.0;3.0
871755;2023-04-02 11:00:00+00:00;61;Ligue 1;2022;79;Lille;97;Lorient;1.0;3.0;0.0;1.0
871756;2023-03-31 19:00:00+00:00;61;Ligue 1;2022;81;Marseille;82;Montpellier;1.0;1.0;1.0;1.0
871757;2023-04-02 18:45:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;80;Lyon;0.0;0.0;0.0;1.0
871758;2023-04-02 13:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;96;Toulouse;1.0;3.0;1.0;1.0
871759;2023-04-01 19:00:00+00:00;61;Ligue 1;2022;94;Rennes;116;Lens;0.0;0.0;1.0;1.0
871760;2023-04-09 13:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;108;Auxerre;0.0;0.0;3.0;3.0
871761;2023-04-08 15:00:00+00:00;61;Ligue 1;2022;77;Angers;79;Lille;0.0;1.0;0.0;0.0
871762;2023-04-09 18:45:00+00:00;61;Ligue 1;2022;97;Lorient;81;Marseille;0.0;0.0;0.0;0.0
871763;2023-04-09 15:05:00+00:00;61;Ligue 1;2022;83;Nantes;91;Monaco;0.0;2.0;2.0;2.0
871764;2023-04-09 13:00:00+00:00;61;Ligue 1;2022;82;Montpellier;96;Toulouse;0.0;1.0;1.0;2.0
871765;2023-04-08 19:00:00+00:00;61;Ligue 1;2022;84;Nice;85;Paris Saint Germain;0.0;0.0;1.0;2.0
871766;2023-04-09 11:00:00+00:00;61;Ligue 1;2022;80;Lyon;94;Rennes;0.0;3.0;1.0;1.0
871767;2023-04-07 19:00:00+00:00;61;Ligue 1;2022;116;Lens;95;Strasbourg;1.0;2.0;0.0;1.0
871768;2023-04-09 13:00:00+00:00;61;Ligue 1;2022;93;Reims;106;Stade Brestois 29;0.0;1.0;1.0;1.0
871769;2023-04-09 13:00:00+00:00;61;Ligue 1;2022;110;Estac Troyes;99;Clermont Foot;0.0;0.0;2.0;2.0
871770;2023-04-16 13:00:00+00:00;61;Ligue 1;2022;108;Auxerre;83;Nantes;2.0;2.0;0.0;1.0
871771;2023-04-16 15:05:00+00:00;61;Ligue 1;2022;91;Monaco;97;Lorient;2.0;3.0;0.0;1.0
871772;2023-04-16 13:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;77;Angers;2.0;2.0;1.0;1.0
871773;2023-04-16 11:00:00+00:00;61;Ligue 1;2022;79;Lille;82;Montpellier;0.0;2.0;1.0;1.0
871774;2023-04-16 18:45:00+00:00;61;Ligue 1;2022;81;Marseille;110;Estac Troyes;2.0;3.0;0.0;1.0
